P_MASS,P_RADIUS,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_IMPACT_PARAMETER,S_DISTANCE,S_MASS,S_RADIUS,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,S_LUMINOSITY,S_HZ_CON0_MAX,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,CEESA
18.116196,4.46158,0.2175,0.14,0.4866699999999996,8.50332,0.94,0.96,8.96,-3.08,2.76,5577.0,2.0150654791106626,4.0604889,0.91010111,0.2039862793764763,0.2196315,17.15457,516.57153,583.7158891999998,0.80352612,1.5293019,1.4069863,0.50503188,0.0,0.0,0.0,0.22749898,1.3885034333820883
22.883616,5.11176,0.476,0.35,0.3802300000000002,8.50332,0.94,0.96,8.96,-3.08,2.76,5577.0,2.1158121079381007,4.4766609,0.87575725,0.1713220591705586,0.505155,3.7858424,346.85808,393.1728119,0.80352612,1.5293019,1.4069863,0.50503188,0.0,0.0,0.0,0.37093324,1.261139003599057
587.98181,13.452,1.758,0.06,0.3569120000000002,19.8101,1.34,4.87,4.3,-1.3,0.9,4826.0,6.611325141818058,43.70962,3.2493027,0.2415479271218734,1.7611644,3.7475324,354.23188,400.2555258,11.561122,6.1976171,0.43579367,0.50292649,0.0,0.0,0.0,0.26607224,2.3375229556296335
276.51036,13.9004,2.153,0.08,0.41833,19.8101,1.34,4.87,4.3,-1.3,0.9,4826.0,4.4600739024776415,19.892259,1.4310566,0.1029507498926102,2.1598896,2.5021086,320.03602,361.9954379,11.561122,6.1976171,0.43579367,0.50292649,0.0,0.0,0.0,0.31679596,1.6829738545706137
2380.5317,12.6673,0.481,0.3988,0.3648900000000001,17.9011,1.09,1.89,7.77,-0.51,0.51,5495.0,13.708658460697572,187.92732,14.835625,1.1711750202407425,0.51924947,13.314429,471.31239,534.780443,2.82488,2.8883053,1.2839292,0.51812813,0.0,0.0,0.0,0.14302055,4.408298157619428
953.48401,13.1157,2.1,0.117,0.3495800000000001,82.9613,2.49,10.5,6.25348,-3.083479999999999,3.190329999999999,4846.0,8.526307080182269,72.697912,5.542816,0.4226092428800637,2.1143734,12.261807,475.51291,537.5076606999996,53.70318,13.334544,0.55449989,0.62529398,0.0,0.0,0.0,0.14623544,3.0645795664675246
416.35468,13.6762,0.49,0.06,0.462122,162.552,1.44,10.3,1.7,-0.2,0.2,4847.0,5.517584636436184,30.44374,2.226038,0.1627672855484428,0.490882,221.5088,982.19799,1109.6203909999997,53.088444,13.256864,0.46277365,0.44132022,0.0,0.0,0.0,0.070450461,2.6228042411550914
1684.4884,12.7794,2.5,0.206,0.390906,101.26,2.4,11.0,5.998699999999999,-3.11763,3.36724,4785.0,11.480975240059962,131.81279,10.314474,0.8071172565368543,2.553045,9.8069978,447.20824,506.9630604000001,59.979108,14.16606,0.49324069,0.61766768,0.0,0.0,0.0,0.16486618,3.79972727498396
1017.0496,13.1157,0.7,0.027,0.4108000000000002,44.0304,1.4,11.0,3.56,-0.63,0.63,4665.0,8.805932040808024,77.54444,5.9123371,0.4507831876776535,0.70025515,100.45285,806.44745,910.5626732999996,49.203954,12.961591,0.33534899,0.49451088,0.0,0.0,0.0,0.078679222,3.5818959622697486
2860.452,12.5552,93.9,0.4,0.8095670000000003,162.127,2.4,2.96,0.003,-0.002,0.002,9770.0,15.094040626825086,227.83006,18.146271,1.445319155611028,101.412,0.007303469,72.114083,143.35172260000016,59.020108,11.639702,2584.9785,0.18189277,0.0,0.0,0.0,0.078618445,3.417046070252359
