P_MASS,P_RADIUS,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,S_DISTANCE,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_SURF,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
2256.5788,12.6673,0.87,0.432,0.40954000000000007,-0.18878699999999987,0.14153399999999997,73.4603,1.23,-0.15,0.15,18.11,-1.47,1.47,4.604,-2.0,2.0,4415.0,13.346986580955164,178.14205,14.063143,1.1101926186342446,0.95118144,168.97242,74.314825,472.35098,884.18909,1003.9763512999998,18.11,115.34533,8.6132842,21.364874,10.910071,20.255744,11.553948,20.255744,10.532476,20.255744,28.997715,0.20903862,0.49436657,0.0,0.0,0.0,0.076596069
1233.1727,13.0036,1.19,0.38,0.3555600000000002,-0.18521800000000002,0.16895600000000005,90.6545,0.98,-0.05,0.05,22.03,-1.0,1.0,9.49,-1.76,1.76,4200.0,9.738232743489885,94.833173,7.2928399,0.5608324010961421,1.275918,109.08642,52.984386,262.49601,799.90983,906.9055233,22.03,142.8894,9.6482409,24.180606,12.221008,22.925248,12.945671,22.925248,11.797843,22.925248,32.274816,0.13394243,0.51702463,0.0,0.0,0.0,0.078384096
804.10485,13.2278,2.1,0.032,0.3729800000000001,-0.20443999999999998,0.15299199999999996,13.7967,1.06,-0.14,0.13,1.21,-0.06,0.04,6.48,-1.04,1.44,5872.0,7.796730645231385,60.789008,4.5955494,0.347416004952652,2.1010752,0.35791828,0.33589382,0.38177782,197.0187,219.3307273,1.21,1.5776113,0.93726924,2.2028364,1.1871646,2.0884893,1.2552546,2.0884893,1.1459627,2.0884893,3.391281,2.4310132,0.49803052,1.0,0.0,0.0,0.30638616
171.62712,14.2367,3.6,0.098,0.6046259999999996,-0.13779500000000003,0.08328300000000004,13.7967,1.06,-0.14,0.13,1.21,-0.06,0.04,6.48,-1.04,1.44,5872.0,3.4720685472855912,12.05526,0.84677348,0.05947821332204835,3.6172872,0.12231805,0.10096953,0.14961734,150.39462,171.989973,1.21,1.5776113,0.93726924,2.2028364,1.1871646,2.0884893,1.2552546,2.0884893,1.1459627,2.0884893,3.391281,2.4310132,0.49803052,0.0,0.0,0.0,0.17348008
521.23792,13.452,11.6,0.16,0.5625840000000003,-0.16883499999999996,0.10886,13.7967,1.06,-0.14,0.13,1.21,-0.06,0.04,6.48,-1.04,1.44,5872.0,6.2247881021319635,38.747987,2.8804629,0.2141289695906016,11.74848,0.011877236,0.008713007,0.01661596,83.698226,152.54575890000007,1.21,1.5776113,0.93726924,2.2028364,1.1871646,2.0884893,1.2552546,2.0884893,1.1459627,2.0884893,3.391281,2.4310132,0.49803052,0.0,0.0,0.0,0.079138172
635.65601,13.3399,13.2,0.45,0.7726300000000004,-0.22393999999999997,0.17575999999999997,29.7575,1.75,-0.05,0.05,1.49,-0.06,0.05,0.02,-0.006,0.006,7295.0,6.902951018521983,47.650732,3.5720457,0.2677715518698841,14.5365,0.045497422,0.01932485,0.13431569,112.85883,152.94809080000013,1.49,7.0794578,1.8450333,4.2519769,2.3368808,4.0312697,2.4685242,4.0312697,2.2553745,4.0312697,7.1839578,33.120019,0.2245997,0.0,0.0,0.0,0.11286549
146.20088,14.2367,0.0527,0.013,0.5501379999999998,-0.15494600000000006,0.09342999999999994,15.4614,1.03,-0.09,0.17,1.18,-0.04,0.07,10.0,-2.2101799999999994,2.16789,5758.0,3.2045741609521987,10.269296,0.72132556,0.050666626163226376,0.052704453,492.51047,479.91009,505.52713,1200.1485,1355.1193130000001,1.18,1.3677288,0.87872365,2.0713533,1.113013,1.9638312,1.1769691,1.9638312,1.0744031,1.9638312,3.1576484,1.9795828,0.53027837,0.0,0.0,0.0,0.065490276
263.98794,13.9004,0.1134,0.0,0.31171000000000004,-0.20575999999999997,0.1713450000000001,12.5855,0.91,-0.02,0.02,0.94,-0.01,0.01,5.5,-2.5,2.5,5172.0,4.357911382145097,18.991391,1.3662478,0.09828838379005181,0.1134,49.40534,49.40534,49.40534,675.4425,762.7913436999995,0.94,0.63533093,0.61901216,1.486773,0.78406755,1.4095949,0.82960593,1.4095949,0.7569217,1.4095949,2.1521066,0.69409129,0.46057365,0.0,0.0,0.0,0.085728511
54.47572,8.5196,0.2373,0.03,0.3407699999999999,-0.23435499999999998,0.18268200000000007,12.5855,0.91,-0.02,0.02,0.94,-0.01,0.01,10.2,-2.5,2.5,5172.0,2.5286684332391904,6.394164,0.75052396,0.08809380411919769,0.23740679,11.287559,10.634818,11.991156,466.89755,527.3641574999997,0.94,0.63533093,0.61901216,1.486773,0.78406755,1.4095949,0.82960593,1.4095949,0.7569217,1.4095949,2.1521066,0.69409129,0.51051127,0.0,0.0,0.0,0.18608551
1232.537,13.0036,5.957,0.13,0.6614639999999997,-0.1452569999999999,0.09944900000000009,12.5855,0.91,-0.02,0.02,0.94,-0.01,0.01,5.5,-2.5,2.5,5172.0,9.735722392517571,94.78429,7.2890807,0.5605432922329822,6.0073367,0.018057015,0.014021288,0.023654093,93.093698,151.5852907000001,0.94,0.63533093,0.61901216,1.486773,0.78406755,1.4095949,0.82960593,1.4095949,0.7569217,1.4095949,2.1521066,0.69409129,0.46057365,0.0,0.0,0.0,0.087566939
